음식명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g),한글명
kimbap,200.0,348.87,63.64,0.0,5.42,10.28,41.45,159.43,951.32,355.38,3.24,3.4,1.91,69.12,0.0,김밥
kimchifriedrice,500.0,656.98,79.29,4.0,5.06,8.74,35.89,182.12,1094.91,305.71,1.92,1.06,1.85,76.0,0.0,김치볶음밥
bibimbap,500.0,703.0,95.68,3.44,25.28,22.6,96.8,289.33,1234.09,742.51,55.8,4.75,4.16,40.2,0.0,비빔밥
pasta,400.0,825.06,85.88,0.0,45.4,19.44,233.33,333.99,1025.21,916.21,,3.26,2.55,140.15,0.0,파스타
spinach,50.0,37.51,3.82,0.0,2.37,2.07,37.59,24.55,217.26,311.26,,1.77,0.4,0.0,0.0,시금치
kimchistew,300.0,150.0,15.0,0.0,7.5,15.0,30.0,60.0,300.0,150.0,,1.5,1.5,30.0,0.0,김치찌개
eeldonburi,400.0,671.72,103.04,0.0,19.24,26.14,611.12,448.26,893.22,785.08,28.6,22.17,4.75,156.96,0.0,장어덮밥
japchae,150.0,198.82,37.47,2.99,4.7,2.59,50.13,53.94,664.75,294.12,,2.91,0.48,14.25,0.0,잡채
jjajangmyeon,650.0,760.88,134.29,7.99,23.16,15.74,166.7,302.56,2447.0,1013.84,37.46,5.33,1.41,3.08,0.0,자장면
steamedrice,210.0,334.8,73.71,0.0,0.45,5.76,3.6,126.0,59.4,146.7,,0.36,1.35,0.0,0.0,쌀밥
scrambledegg,100.0,168.64,1.28,1.0,13.41,10.38,47.34,197.21,314.09,138.86,11.72,1.2,1.01,359.0,0.0,스크램블에그
tunasandwich,200.0,413.6,29.84,7.79,24.1,16.52,123.13,190.38,859.91,288.55,22.9,1.75,1.17,28.5,0.0,참치샌드위치
crabstick,100.0,97.5,12.5,4.5,1.9,8.2,10.0,150.0,650.0,180.0,6.5,0.3,0.2,20.0,0.0,크래미
chickensteak,200.0,222.0,0.0,0.0,5.4,40.7,20.0,440.0,150.0,640.0,56.0,1.0,1.0,130.0,0.0,닭가슴살스테이크
bakedpotato,150.00,462.11,50.10,0.00,25.76,6.24,10.32,95.48,374.22,344.24,,1.43,0.46,0.00,0.00,감자튀김
coldsoymilknoodles,800.00,623.50,67.12,1.00,20.43,47.80,227.94,591.06,875.84,1343.71,0.00,8.58,5.33,0.00,0.00,콩국수
